job_title,job_description,education_requirement,experience_level,tech_requirements,soft_skills,project_experience,domain_knowledge,certifications
sectoral research manager  assistant manager  senior specialist,"about the job
we are looking for a teammate to be assigned to the expanding and growing staff of our banks sectoral research unit
qualities
 with the least undergraduate degree, preferably graduated from economics, statistics, econometrics, finance, business engineering departments or has a masters degreedoctorate in these fields,
 having at least 5 years of experience in the field of data analysis with sectoral and economic research,
 following local and global sectoral developments closely, dominating research tools, information sources and related databases,
high reporting skills,
with proactive research skills,
can be prone to teamwork and can use time management effectively
 with advanced english knowledge reading, writing, speaking,
with advanced excel, powerpoint and ms office information at an advanced level,
preferably dominated the use of software such as r, python or eviews
job definition
 detailed research, analysis and sectoral estimates for various sectors such as energy, transportation, infrastructure, especially the manufacturing industry sectors
conducting impact analyzes taking into account the connections between macro developments and sectoral appearance,
 reporting the researches, analyzes and outputs in the standards of institution,
 delivery of the requirements for the project needs by working in coordination with other departments within the institution at the requested time,
 preparation of reports in themes in accordance with the banks vision and mission within the framework of the united nations sustainable development objectives,
in addition to academy and sectoral organizations, the contribution of public institutions and development financing organizations to the working groups
as development and investment bank, within the framework of the un sustainable development goals, we are sensitive to the world, the environment and the society, act with the awareness of social responsibility, use our resources effectively and efficiently, give priority to equal employment in accordance with our equal opportunities in our recruitment processes we are proud of our experienced staff carrying, and we sincerely believe that we will continue to create value for the future with the joining of our new colleagues who will adopt the green strategy ",bachelor,senior,"excel, powerpoint, ms office, r, python, eviews","teamwork, time management, proactive research skills, high reporting ability, communication, coordination","sectoral and economic data analysis, macroeconomic impact analysis, report preparation, interdepartmental coordination, contribution to public and development financing initiatives","economic research, sectoral analysis, macroeconomic trends, un sustainable development goals, manufacturing, energy, infrastructure, transportation",
emea pricing analyst remote from türkiye,"about the job
ready to build the future of mobility by building your dream career
you can at continental
who are we
continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods founded in 1871, the technology company offers safe, efficient, intelligent and affordable solutions for vehicles, machines, traffic and transportation in 2024, continental generated sales of 397 billion and currently employs around 190,000 people in 55 countries and markets
your role
you are numbers driven and interested in data analytics in a competitive market environment
as pricing analyst you will be part of a diverse emea team and supporting price list process and price concept creation for different seasons and product groups passenger  light truck tires  truck tires for emea region, as well as driving pricing process standardization  training for pricing emea
you will be responsible for analysis and price reporting for the fleet solution channel incl retread and digital solutions, coordinating the relationship with all stakeholders from different emea markets and sales channel
we are searching for an emea pricing analyst the role involves reporting to the pricing emea team while being based in turkey
description
supporting yearly price concept preparations for passenger  truck tires plt  tt for emea region
ownership for fleet solution incl digital solutions and retread and oetrailer channel price analysis  reporting
steering pricing process standardization  training for pricing emea in various international projects
supporting adhoc financial analysis and simulations for emea region
qualifications
excellent knowledge on ms office tools power bi  excel  powerpoint
high level of analytical skills and sales system knowledge and database experience enjoy working with data and numbers
preferably experienced in sales, pricing, controlling or supply chain areas
intercultural sensitivity and experience in international working environment
academic degree in business studieseconomics andor engineering background
experience with crm systems is an advantage
high level of english  willingness to work in virtual teams, excellent team player and willingness to travel
what are we offering
hybrid working model
training opportunities and certification programs
1 day off on your birthday
comprehensive health insurance package
private pension plan
food voucher
performance based bonus system
apply now drive your career",bachelor,senior,"power bi, excel, powerpoint, database experience, crm systems","analytical thinking, intercultural sensitivity, teamwork, willingness to travel, virtual collaboration","price concept preparation, pricing process standardization, price reporting for fleet solutions and oetrailer channel, adhoc financial analysis","pricing strategy, sales systems, fleet solutions, digital solutions, retread, controlling, supply chain",
senior financial analyst,"about the job
orion innovation is a leading, awardwinning, global business and technology services firm our mission is to be a trusted partner to inspire and accelerate digital innovation
we provide business solutions rooted in digital strategy, experience design, and engineering, that are transformative for our clients were a partner to some of the worlds top companies across financial services, professional services, telecommunications and media, hightech, professional sports and entertainment, and healthcare and life sciences
headquartered in edison, nj, we have a team of over 7000 associates across north america, europe, apac, and latam founded almost 30 years ago, we bring to our clients a unique combination of agility, scale, and maturity
role senior financial analyst
fulltime  senior level hybrid
location yenişehir mah pendikistanbul
requirements
bachelors degree in economics, business administration, or related fields
minimum 35 years experience in finance, reporting or audit big4 experience is an asset
experience in ifrs or us gaap accounting and knowledge of financial reporting standards
advanced knowledge of ms office excel and powerpoint
excellent command of both written and spoken english
problem solving, result oriented mindset
key responsibilities
working directly with finance director to support financial activities and general projects
providing all data required for internal and external reporting including monthly financials reports, statutory accounts, national statistics, and tax etc
providing timely, proactive support on the accounting and reporting
preparing annual budgets, monthlyquarterly forecasts
comparing monthly budgets forecasts to actual expenditures, analyzing deviations
taking part in the analysis of all periodical reports and financial analysis
performing the additional reporting activities
eeo statement
orion is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, citizenship status, disability status, genetic information, protected veteran status, or any other characteristic protected by law",bachelor,senior,"ifrs, us gaap, financial reporting standards, ms office excel, powerpoint","problem solving, resultoriented mindset, communication, teamwork","financial reporting, monthly financial reports, statutory accounts, budget preparation, financial analysis, forecasting","finance, accounting, reporting, budgeting, tax",
financial analyst executive,"about the job
who are we
everywhere is dominos for us, everything is together for us
our story started in 1996 with our first branch opened in ulus, istanbul as the pioneer of turkeys quick service restaurant chains, we combined the home delivery concept with pizza this merger also ignited our spirit of innovation, which keeps our energy high
as extraordinary, passionate and enterprising dominos employees, we are careful to do our job in the best possible way today, as an industry leading brand for 28 years, we have achieved this thanks to the dominos team of more than 7,500 people
we have 700 restaurants in 80 provinces in turkey and production centers in ankara, gaziantep, gebze and izmir these numbers are increasing even as you read this article
we are proud to be a brand that makes a splash with its success not only in turkey but also in the world we run a total of 809 restaurants under the umbrella of dp eurasia, including azerbaijan and georgia, with our perfect operational perspective, and deliver our delicacies in less than 30 minutes
in addition to being one of the most popular restaurant chains, we are also breaking new ground as the dp eurasia brand, which was born in turkey and grew with its support offices and franchises, our happiness is indescribable as the first turkish company to enter the london stock exchange from the premium list in 2017
another innovation of ours is coffy, our oneprice coffee point with an innovative approach compatible with the digital world we continue this story, which we started in istanbul kadıköy in 2019, with 92 stores in turkey today
we make a difference in all the work we do with our extraordinary spirit
we say that we are a technology company that sells food, not just pizza we also achieve high satisfaction rates with our technology investments and digital initiatives
we continue to walk passionately on our path to many successes
we believe that there is no other flavor that makes you happy faster than dominos
because our taste is unique and inimitable
because behind this taste is the dominos team that does its job with passion
come on, join us
which specialities that makes you put forward in the position we are looking for
bachelors degree in economics, business administration, industrial engineering, or related fields
minimum of 6 years of experience in budget and financial reporting experience in independent audit firms for at least 2 years would be an asset
experience in financial analysis or financial controlling processes knowledge of ifrs reporting would be an asset
experience in relevant fields such as fmcg, qsr, retail, production, logistics, procurement, or supply chain management would be an asset
proficient in ms office programs advanced excel skills are essential experience with sap and data visualization tools eg, power bi, thinkcell would be an asset
strong analytical and strategic thinking abilities, open to development, and willing to research and learn
excellent communication skills and ability to work collaboratively in a team
professional proficiency in english both written and spoken
strong business partnering skills to collaborate with crossfunctional teams
what is done in this position
ensuring effective financial management across budgeting and reporting processes
analyzing financials to provide actionable insights for management
preparing presentations for executive and board meetings, clearly communicating financial performance and projections
supporting the development of financial models and scenario analyses to guide strategic decisionmaking
proposing, developing, and tracking efficiencyfocused projects related to budgeting and reporting to drive process improvements
leading feasibility studies and roi assessments for capexs, ensuring thorough tracking and execution
performing financial analysis for procurement, logistics, and supply chain processes to identify costsaving opportunities and efficiency improvements
collaborating closely with procurement and supply chain teams to analyze purchasing efficiency, stock management, and cost of goods sold cogs

what kind of a work environment does dominos offer you
opportunity to develop yourself, take initiative and learn a lot with the responsibilities you will take
opportunity to discover dominos potential and strengths with teamwork in a working environment where friendship ties are also strong
casual wear besides a comfortable, exciting and fun working environment
flexible working hours that you can set with your team
would you like to join the dominos family
come on, apply now and send us your cv",bachelor,senior,"ifrs, sap, ms office advanced excel, data visualization tools power bi, thinkcell","analytical thinking, strategic thinking, teamwork, communication, business partnering","budgeting, financial reporting, financial analysis, feasibility studies, roi assessments, costsaving projects","financial controlling, budgeting, procurement, logistics, supply chain management, fmcg, qsr, retail",
bilingual community manager,"about the job
dataannotation is dedicated to developing quality artificial intelligence join our team to help us train artificial intelligence chat boots and take advantage of the advantage of identifying your own program with the flexibility of remote work
will join our team and train artificial intelligence chat boots
bilingual professional
we are looking for with chat boots, you will measure their progress by speaking both turkish and english and write new dialogues to teach them what to say
advantages
this is a full time or part time working position
you can choose which projects you want to work with
you can work according to your own program
projects are paid hours, starting from 25 usd, bonuses are offered in high quality and intensive work
responsibilities in turkish and english
creating different dialogues on various issues
writing high quality answers when certain demands are given
comparing the performance of different artificial intelligence models
investigating artificial intelligence answers and controlling accuracy
qualifications
fluent in turkish and english languages
undergraduate degree completed or ongoing
excellent spelling and grammar skills
strong research and accuracy control skills to ensure accuracy and originality
note payments are made through payoneer",undergraduate,entry,,"research, accuracy control, writing, bilingual communication, attention to detail","dialogue creation, ai performance comparison, ai answer validation","artificial intelligence, chatbots",
crew control operations specialist,"about the job
we are pegasus airlines
we are pegasus we represent the new generation in turkish aviation with our motto everyone has the right to fly, we inspire our guests to travel with low fares thanks to our business model
as your digital airline, our guestcentric approach offers digital technologies and unique innovations that enhance the travel experience
today, we operate connecting flights to more than 50 countries across türkiye, europe, north africa, the middle east, russia, and central asia we have one of the youngest fleets in turkey, which exceeds 100 aircraft in 2025
are you ready to embark on your pegasus career path as our
crew control operations specialist,
flight number pc2025
requirements
bachelors degree from reputable universities
proficiency in written and spoken english
team player with strong communication skills
residing or may reside in the anatolian side of istanbul
in this role, you will
monitor the participation of pegasus airlines cockpit and cabin crews inflight duties and plan new crews in accordance with the instructions of the general directorate of civil aviation shtftl for crews who cannot participate in their duties
ensure the timely execution of flight operations by working in coordination with relevant sections of the operations control center occ
implement decisions andor changes made by the occ on crew planning systems and sharing changes in crew schedules with the crews
proactively take necessary precautions and coordinate with relevant units in the event of disruptions in flight operations
prepare and monitor crew documents requested by the country authorities where the flight crews will fly
what pegasus airlines can offer you
discounted domestic and international flight tickets that include firstdegree family members, for a single candidate can add 1 person, discounted flight with contracted airlines to destinations where there are no flights
private health insurance
food voucher
funfly social activity clubs social clubs such as theatre club, sailing, trekking, running, basketball, volleyball and football teams, esports team
kindergarten opportunity for female employees istanbul, izmir, antalya
performancebased bonus system
shuttle
discover pegasus airlines
our framework for a sustainable future prioritizes our impact on the environment and society, as well as economic development we call our route sustainable future by 2050, we aim to eliminate carbon emissions from our operations, and we are working towards this goal we are proud of a rich governance culture that is developed through a perspective open to continuous improvement and the feedback of our stakeholders we regularly and transparently share our targets and performance on these issues with the public
gender equality is at the foundation of our corporate culture we are one of the pioneering airlines that have signed iatas voluntary initiative 25by2025 to increase the representation of women in all areas of the aviation industry, including pilot, technician, and management ranks we were the first airline in the world to join the un womens empowerment principles weps platform
listen to every different voice in our quest for a more equal tomorrow for future generations and we call our voice pegasusharmony ",bachelor,entry,"crew planning systems, coordination with occ","communication, teamwork, proactive, problemsolving","flight crew planning, flight operations coordination, crew schedule management","aviation operations, crew management, civil aviation regulations",
sr operation manager,"about the job
are you
highly ambitious to deliver
fast paced
service with
customer first
attitude
an innovative who challenges the way things are with an
ownership mindset
bold enough to be a part of
one emaar
while
winning together
 ready to change the game
join us if you
have bachelors degree from a reputable university
have shopping center or mixuse projects experience for 10 years including managerial experience close to 5 years
have shopping center facility and operations management experience,
have knowledge of overall mall management,
are fluent in formal written and spoken english
have good communication skills,
are willing to
identify, develop, implement and manage overall customer experiencejourney related defects and develop strategies to resolve and improve them in the common area
monitor mall customer experience and detect in sufficient services, physical conditions, navigation and resolve them in coordination with other departments by regularly updating mall management,
control quality service level of outsource services and coordinate operational defects with other discipline heads,
support mall management on site to control daily operations, look and feel conditions and make sure that mall provides an excellent level service quality
produce and evaluate contact structure for works done by services providers, vendors, tenants all other works,
manage, coordinate and support all security activities and provide advice to the management team on all security matters,
participate in all activities related to the planning, implementation, execution and review of security strategy, risk management, operational management, emergency management, crisis management, business continuity management, recovery and resumption and events management
initiate securityinspections, both proactively and reactively, to assess the effectiveness of security practices and procedures
manage and support the development, implementation and maintenance of the health and safety elements of the emaars hse management system
ensure all the service providers and contractors are in line with health  safety regulations and follow emaars hse standards,
inform and advise management regarding compliance status and issues, potential risks and liabilities, accidentincident trend analyses, future impacts from new laws and rules, recommended actions and risk management strategy
carry out audit programmers, accident and incident investigations as required
provide technical advice on all relevant hse issues  risks and advise accounts of changes in legislation that will impact on service delivery
become a bridge between mall departments to ensure highest level of communication and coordination among departments
coordinate and follow up operations including all field related jobs of mall divisions via maintaining communications
manage, monitor and audit service providers performance as per the sla and address any fault against the pms and kpis
keep an eye on site and make sure mall provides safest, cleanest, most comfortable and easy to navigate environment for mall visitors
engage with stakeholders and the first contact person in front of local authorities in order that the concept of space utilization and tenantvisitor experience is appropriately designed and steps taken to deliver on this strategy,
be responsible and manage landscaping services and mall decorations to create a better atmosphere in line with mall strategy",bachelor,senior,"mall management, shopping center operations, facility management, service quality control","communication, customer experience management, team coordination, problemsolving, leadership","shopping center and mixeduse projects, facility and operations management, security and hse strategy implementation","mall operations, customer journey, hse management, security strategy, vendor and service management",
technical marketing and automation manager zr_21168_job,"about the job
job higlights
contract type independent contractor
schedule
40 hours per week 7am to 4pm fredericksburg, texas, usa time with 1 hour unpaid break
introduction
join our dynamic web development team as a wordpress developer in this role, you will leverage your extensive knowledge of html, css, php, and frontend programming to create, design, and optimize aesthetically pleasing and highly functional websites with a focus on technical seo and the use of analytical tools like semrush and google search console, you will ensure our clients sites rank well and operate flawlessly
responsibilities
design, develop, and optimize wordpress websites to enhance both aesthetics and performance
customize themes and plugins to meet specific client needs and adhere to seo best practices
utilize frontend technologies such as html5, css3, and javascript to style and integrate content
employ page builders like elementor and wpbakery for crafting responsive design elements
ensure websites are optimized for speed and scalability
conduct detailed website performance and seo audits using tools like semrush and google search console
maintain and document reusable code and architecture for easy transfer and scalability
resolve issues and enhance the user experience based on analytical insights and performance metrics
stay updated with the latest industry trends, tools, and technologies in web development and seo
update content with openai platform prompts
requirements
proven track record as a wordpress developer
strong expertise in html5, css3, and at least basic knowledge of javascript, jquery, and php
knowledge of technical seo, semrush, and google search console
proficient in website architecture, uiux design
ability to work independently and manage projects effectively
benefits
independent contractor perks
hmo coverage for eligible locations
permanent work from home
immediate hiring
steady freelance job
please note that since this is a permanent workfromhome position and an independent contractor arrangement, the candidates must have their own computer and internet connection they will handle their own benefits and taxes the professional fees are on hourly rates and the rate depends on your performance in the application process
zr_21168_job",,mid,"html5, css3, javascript, jquery, php, wordpress, elementor, wpbakery, semrush, google search console, technical seo","independent work, project management, problemsolving, continuous learning, adaptability","wordpress website development, theme and plugin customization, seo auditing, performance optimization","wordpress, frontend development, seo best practices, website performance analysis",
marketing manager,"about the job
about the role
we are seeking an experienced marketing manager to lead and execute highimpact marketing campaigns, focusing on ai events and industry engagements the ideal candidate has 10 years of marketing experience, including at least 5 years specializing in airelated events you will develop and implement marketing strategies to enhance brand visibility, attract attendees, and drive engagement across digital and offline channels
responsibilities
 develop and execute comprehensive marketing campaigns for ai events, ensuring alignment with business objectives
 manage event promotions, including social media, content marketing, paid ads, and email campaigns
 collaborate with internal teams, industry influencers, and media partners to maximize event exposure
 oversee brand messaging, sponsorship marketing, and pr initiatives to drive event participation
 track and analyze campaign performance, using insights to optimize future marketing strategies
qualifications
 10 years of experience in marketing, with 5 years in ai event marketing
 strong expertise in event promotion, digital marketing, content strategy, and sponsorship management
 proven ability to drive brand growth, audience engagement, and lead generation
 excellent communication, leadership, and project management skills
 deep understanding of the ai industry, ai trends, and crypto community engagement",,senior,"event marketing, digital marketing, content strategy, sponsorship management, analytics","communication, leadership, project management, collaboration, problemsolving","ai event marketing, brand growth, audience engagement, campaign performance analysis, sponsorship management","ai industry, ai trends, crypto community engagement",
marketing communications manager,"about the job
sustonable is a company dedicated to bringing sustainable solutions to building materials by creating circular design surfaces their unique combination of natural stone and recycled pet plastic offers a more ecological and conscious material for architectural projects sustonable products are recycled and 100 recyclable, free of hazardous chemicals, and versatile for various applications, contributing to a cleaner planet and defending natural resources
role description
this is a fulltime onsite marketing communications manager role located in istanbul at sustonable the marketing communications manager will be responsible for communication, press releases, marketing communications, strategic communications, and project management
qualifications
10  years of experience in marketing communications
experience in social media management
brand communication and strategic communications skills
determining and executing communication activities in traditional and digital channels
carrying out the process by working with agencies related to activities and projects
managing visual, creative and social media agencies,
creating and executing digital, crm and social media campaigns,
making necessary reports regarding marketing activities
strong project management and organizational skills
excellent written and verbal communication abilities
ability to work in a fastpaced environment",,senior,"social media management, digital marketing, crm, campaign execution","project management, organizational skills, communication, creativity, problemsolving","marketing communications, press releases, strategic communications, project management, digital and social media campaigns","brand communication, strategic communications, social media, digital channels",
international customer support advisor,"about the job
apply now
job title
international customer support advisor
job description
the advisor i, customer service position interfaces with customers via inbound calls, outbound calls, or through the internet depending upon client requirements this position provides customer service support and resolution of routine problems regarding clients product or services
essential functionscore responsibilities
ensure service delivered to our customers meets contractual key performance indicator kpis
clarify customer requirements probe for understanding, use decisionsupport tools and resources to appropriately provide resolution to the customer
listen attentively to customer needs and concerns demonstrate empathy while maximizing opportunity to build rapport with the customer
greet customers in a courteous, friendly, and professional manner using agreed upon procedures
maintain basic knowledge of client products andor services
prepare complete and accurate work including appropriately notating accounts as required
participate in activities designed to improve customer satisfaction and business performance
offer additional products andor services
track, document and retrieve information in call tracking database
respond to customer inquiries by referring them to published materials, secondary sources or more senior staff
candidate profile
high school diploma with three to six months of relevant experience preferred
courteous with strong customer service orientation
strong computer navigation skills and pc knowledge
ability to effectively communicate, both written and verbally
dependable with strong attention to detail
skilled in multitasking including the ability to be flexible and adapt to changes quickly
tolerance for repetitive work in a fastpaced, high production work environment
ability to work as a team member, as well as independently
demonstrate patience in all customer contact situations including maintaining a pleasant and professional tone and manner
ability to rotate shifts, as needed
based on location andor program, additional experienceskills may be required
job requirements may vary by country and will not contravene any local laws
career framework role
has program required basic skill set to perform routine tasks within simple processes but lacking programproduct specific knowledge works with close supervision and clearly defined procedures starting to demonstrate familiarity with client terminology, operating standards and procedures starter without sustained metric performance levels
supplemental geographical information
recruiter enter the applicable language
germany  this job description does not apply to employees in germany
united kingdom exclude high school information in candidate profile section
philippines
minimum of two years of college education no prior call center experience is required
ability to think clearly and can explain simple issues effectively, both written and verbally
india
ability to effectively communicate, both written and verbally
listen attentively to customer needs and concerns demonstrate empathy
clarify customer requirements probe for and confirm understanding of requirements or problem
confirm customer understanding of the solution and provide additional customer education as needed
ability to learn including strong problem solving skills
demonstrate strong probing and problem solving skills
should be able to handle complex queries
should be able to resolve customer queries independently
disclaimer
the above statements are intended to describe the general nature and level of work being performed by people assigned to this job they are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel working within this job title
concentrix is an equal opportunity employer concentrix evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability status or any other legally protected characteristic
location
tur  bağcilar km  baglar mah,kocman caddesi, no33 bagcilaristanbul
language requirements
time type
if you are a california resident, by submitting your information, you acknowledge that you have read and have access to the job applicant privacy notice for california residents
apply now",high school,entry,"pc knowledge, computer navigation skills, call tracking database, client productsservices","customer service, communication, empathy, multitasking, attention to detail, teamwork","customer service, inboundoutbound calls, customer inquiries, productservices resolution","customer service, product knowledge, service delivery",
customer service specialist,"about the job
do you want to join a growing and globalizing team that makes dreams come true
eti is full of opportunities for you to pursue the future with your qualities and performance customer service specialist position to explore your own limits and step into the future with us, join us
what is the purpose of this position
orders from related sales channels and customers to perform shipment, stock, order details and price control, to carry out the process from the product to the customer to the customer in coordination with the relevant units, to remain in contact with the customer and to ensure that the process processes without any problems
what do we expect from you
 to define the orders from customers and field team in the system and direct them to the relevant warehouses,
 follow the stocks of distributors and customer warehouses and direct their orders,
 to evaluate activity requests in terms of order system and inform the relevant units
 to control the compliance of the shipments to customers in the logistics service conditions, to follow the delivery and to develop solutions in possible cases
 following stock values on the basis of warehouse  sku, to ensure action,
 making system improvement studies to increase the efficiency of the customer order management process,
 to follow the operation process, to solve the problems that may occur in the process
why are you
 graduated from the relevant departments of universities,
 if you know about sales and order management, you can be the person we are looking for
what does it bring to the forefront
 being analytical and result oriented,
 strong communication and negotiation skills,
 you have coordination ability,
 can you live in istanbul",bachelor,entry,"order system, stock management systems, logistics service conditions","analytical skills, communication, negotiation, coordination","sales and order management, logistics coordination, customer order process management","order management, logistics, customer service",
customer experience specialist,"about the job
are you ready to make your story real at digiturk
we are, digiturk, the first digital broadcasting platform in turkey, have brought a new perspective to television broadcasting in turkey with the firsts we have pioneered since our establishment in 1999 keeping up with todays changing viewing experience digiturk has started to provide internet services to members as of 2021 with our more than 3 million members and 1500 employees, we have managed to set the standards in the sector and have continued to strengthen our technological infrastructure and human resources with our innovative vision
bein media group acquired digiturk the leading pay tv operator in turkey in august 2016 and now has over 55 million subscribers worldwide bein media groups flagship sports network, bein sports, holds the single largest portfolio of sports rights of any global broadcaster and through its iconic miramax film studio, bein holds an extensive library of hollywood blockbusters while having a growing presence in series and movies production and distribution, as well as in the digital space the group distributes and produces an unrivaled array of entertainment, live sport and major international events across 5 continents, 43 countries and in 7 different languages spanning europe, north america, asia, australia and the middle east  north africa mena
if you are ready to make your story real in a colorful and vibrant world by constantly renewing  improving yourself, join us and lets build the future of broadcasting together
ideal profile
bachelors degree from the faculty of business, economics, engineering or statistics,
newly graduated or 12 year experience in customer experience,
strong knowledge of customer contact channels such as ivr, call center, chatbot, livechat is a plus,
customerdriven and analytical thinking skills in every aspect of work and pays attention to details,
strong analytical skills is a must for collecting data from multiple sources, analyzing with a cex approach and taking actions due to strategy,
advanced reporting and presentation skills,
proficiency in data  crm tools such as business object, verint etc
highly proactive, have a strong cando attitude
main responsibilities will include
be the voice of customer,
create an effective cex reporting structure from all customerrelated channels,
track cex kpis and analyze the data to turn strong insights for providing the customer with a great experience in all areas,
prepare regular and adhoc reports for different teams to support business development,
identify and analyze customer insights, define pain points and take actions for continuous improvement due to cex approach and company strategy,
regular tracking and improvement  if needed  for cex kpis by detecting all areas such as cc customer care, technical service, digital channels etc,
willing to follow multiple projects existing or new, resultsoriented and guiding the different teams by making benchmarks,
strong communication skills, ability to build relations with both external and internal stakeholders
what we offer
digiturk cares about your life  life insurance
digiturk also cares about your family  private health insurance family members included
digiturk stands by you in your retirement  digiturk retirement contribution
do whatever you want on your birthday leave paid birthday leave
a happy birthday gift from digiturk birthday gift card
digiturk supports our mothers nursery benefit
digiturk celebrate holidays together gift card
global talent programs that offer development opportunities in a multicultural environment
the opportunity to work with joy in a positive environment
in digiturk we have fun together, we succeed together  activities
opportunities to be in the media world, as well as opportunities to experience the excitement of football on the spot, opportunities to meet celebrities you love,  etc",bachelor,entry,"crm tools, business object, verint, data analysis, customer experience management tools","analytical thinking, attention to detail, proactive attitude, communication, relationshipbuilding","customer experience management, reporting, analysis of customer insights, improvement of cex kpis","customer experience, ivr, call center, digital channels",
composite materials application engineer,"about the job
turkiye technology center is looking for
composite materials application engineers
and offering them the opportunity to work with stateofart technologies and applications, specializing in aircraft and industrial engine polymeric matrix composite pmc materials and processes, in a technology base located in kartal, istanbul which is being established by general electric aerospace, ge mtc general electric marmara technology center and tei tusaş engine industries, inc
materials application engineer provides direction and assistance to the work group to meet assigned objectives in this role you will work both independently and with various teams to resolve materials and processes issues related to business initiatives, production, and field service you will be also working on potential development activities to support new engine designs the issues and development efforts will require decisions on issues ranging from moderately complex to highly complex over both short and longer time frames within your area of expertise
roles and responsibilities
conceptual, or theoretical activities relating to the development, improvement, and usage of materials, coatings, and processes undertaken to build, apply, or shape the materials used for gas turbine engines
developing conceptual knowledge of professional discipline may include support roles with specialized expertise or technical knowledge in broad area
applies general knowledge of business developed through education or experience understands how work of own team contributes to the area
resolves issues using established procedures consults supervisor or more senior team members for issues outside of defined instructionsparameters
collaborates with others to solve issues
required qualifications
bachelor of science degree in materials engineering and related disciplines
awareness and interest for pmc materials, their application and development type of tasks
ability to communicate clearly and effectively in writing and orally in english
proven selfstarter and independent worker who can work with crossfunctional teams
fast in action but with detailed technical review and good documentation
strong teamwork and communication skills, eager to learn continuously
complete military service for male applicants
desired qualifications
master of science andor phd in materials science engineering and related disciplines
awareness in aerospace industry
knowledge and experience of pmc materials, preferably for aerospace applications
project experience with literature research, handson lab and reportout experience preferably for pmcs
technical drawing interpretation
ability to coordinate several tasksprojects simultaneously, strategically prioritize work
ability to leverage theoretical knowledge into practical applications
ability to evaluate part design requirements for most suitable material selection and application approaches
awareness and knowledge of pmc manufacturing processes
our recruitment procedure
by clicking on the link provided, you can obtain additional information regarding our recruitment process
httpskariyerteicomtrtrgokyuzundekifirsatlar
you can get information about the details of personal data activities processed in our recruitment processes by accessing the clarification text by clicking the link below
httpswwwteicomtrkisiselverilerinkorunmasi
at our inspiring work environment, are you prepared to leave a permanent mark in the sky",bachelor,entry,"materials engineering, pmc materials, aerospace industry knowledge, technical drawing interpretation","teamwork, communication, problemsolving, ability to prioritize tasks, eagerness to learn","literature research, handson lab experience, report writing, project management in pmc materials","materials science, aerospace applications, pmc manufacturing processes",
industrial engineer,"about the job
our company, which is the leader of the savings financing sector, continues its activities as a leading brand with 119 branches throughout the country, nearly 1500 employees and more than 50 percent market share
eminevim, which has touched millions of people to date and ensures that more than 220,000 families reach the goals of more than 220,000 families, while proceeding with the understanding of providing the best experience by meeting the expectations and needs of their customers at the highest level, ace awards received diamond awards in the housing and automobile categories at the excellent customer satisfaction achievement awards
if you want to be a part of our team that adopts the understanding of perfection in corporate development processes,
we are there for you
if you
if you want to have a profession that adds value to human beings with the motivation of continuous research and learning without breaking away from your academic journey, if you want to continue this with the most scientific and contemporary techniques
if you want to produce continuous value in an developing institution that grows more and more every day by using the efficiency, analysis, modeling tools of industrial engineering,
for you, tools such as linear programming, data mining, financial analysis, mathematical modeling, mathematical programming, statistics, linear programming, optimization are not only a job, but also the applications that direct their development
if you want to see life as a project and take part in the journey of continuous learningdevelopmentdevelopment
we exist for you
common features of our value oriented industrial engineers
 graduated from the undergraduate programs of industrial engineering or econometrics of universities,
 preferably, a phd in industrial engineering masters degree or operations research,
 experienced in operational research modeling, feasibility analysis and strategy development,
 information about deterministic models and stochastic models,
 with a strong analytical, statistical and mathematical perspective,
 with advanced problem solving skills,
 with the experience of documenting, explanation, evaluation and development of complex business processes,
 operations research experienced in operational research defining the problem defining and data collection, system model creating, solution derivation, testing model and solution, application of solution,
 linear programming, integer programming, non linear programming, dynamic programming, stochastic programming, combinatorial optimization, stochastic processes, network flow programming, discrete time markov chains, continuous time time markov chains, tailing and simulation issues experienced in the subjects
 the ability to develop innovative forecasts, models, algorithms and solutions and create prototypes and production applications,
 he has done empirical research,
 experienced in statistical analysis, simulation and predictive modeling issues, thus analyzing information and developing practical solutions to business problems,
 information about data analysis tools such as r or python or general purpose programming languages
our expectations
 using operational research methodology in feasibility studies, data collection, system model creation, testing the model and solution and applying the solution,
 developing practical solutions to business problems by doing statistical analysis, simulation and predictive modeling studies,
 doing budget determination for the projects to be realized,
 developing creative alternatives to improve financial performance,
 preparing basic and alternative scenarios by making economic benefitcost, profit and efficiency analyzes for the related job,
 data analysis of the current situation, root cause analysis and impact analysis for project outputs",bachelor,senior,"linear programming, data mining, financial analysis, mathematical modeling, statistics, optimization, predictive modeling, r, python","analytical thinking, problemsolving, documentation, evaluation, development of complex processes, creativity, communication","feasibility analysis, strategy development, empirical research, statistical analysis, simulation, predictive modeling, scenario development","operational research, econometrics, financial performance, system modeling, project budgeting, economic benefitcost analysis",
